case_id,husband_age,wife_age,marriage_duration_years,num_children,husband_monthly_income,wife_monthly_income,husband_assets,wife_assets,monthly_household_expenses,husband_education,wife_education,husband_employment,wife_employment,standard_of_living,wife_health_condition,husband_health_condition,wife_career_sacrifice,custody_with,marriage_type,divorce_type,monthly_alimony_amount,alimony_duration_months
1,53,56,23,1,26230,11288,114376,16640,12150,12th Pass,Postgraduate,Employed,Employed,Low,Good,Good,No,Shared,Arranged,Contested,15651,218
2,39,38,6,2,163050,113632,3008377,818515,47568,12th Pass,Postgraduate,Unemployed,Employed,Upper-Middle,Good,Moderate,No,Shared,Love,Contested,7964,87
3,32,35,10,4,29048,0,230370,25102,9447,Graduate,Graduate,Employed,Homemaker,Low,Good,Good,Yes,Husband,Arranged,Contested,33069,164
4,45,42,16,3,57961,0,2354372,531133,19090,Graduate,10th Pass,Employed,Homemaker,Middle,Moderate,Good,Yes,Wife,Arranged,Contested,42448,247
5,43,48,11,4,118398,110308,9247670,106644,41819,12th Pass,10th Pass,Business,Self-Employed,Upper-Middle,Good,Good,No,Shared,Arranged,Contested,9761,124
6,47,49,13,2,15393,0,455164,98519,6925,Graduate,Postgraduate,Self-Employed,Unemployed,Low,Moderate,Moderate,No,Husband,Arranged,Contested,14845,168
7,35,36,6,0,155058,86164,8003179,99703,80366,Postgraduate,Graduate,Employed,Self-Employed,Upper-Middle,Good,Good,Yes,N/A,Arranged,Contested,13495,73
8,35,38,1,4,65763,41874,2776885,287170,28153,Graduate,Graduate,Business,Self-Employed,Middle,Good,Good,No,Wife,Arranged,Contested,19028,42
9,48,49,21,3,75876,0,2172203,617830,36082,Graduate,Professional Degree,Employed,Unemployed,Middle,Good,Good,No,Shared,Arranged,Contested,36667,211
10,60,60,12,3,17103,19811,267125,56353,5900,Professional Degree,12th Pass,Employed,Employed,Low,Moderate,Good,No,Husband,Love,Contested,14822,135
11,48,51,24,2,27021,17178,459089,127400,10990,Graduate,Below 10th,Business,Employed,Low,Moderate,Good,No,Shared,Love,Mutual Consent,18425,236
12,27,30,6,2,73302,0,2310555,343708,29411,Professional Degree,12th Pass,Business,Homemaker,Middle,Good,Moderate,Yes,Wife,Arranged,Mutual Consent,38131,110
13,46,45,18,0,25456,0,58078,10562,11717,Graduate,12th Pass,Self-Employed,Unemployed,Low,Good,Good,No,N/A,Love,Contested,15892,160
14,26,25,7,2,28228,0,157066,24396,11443,12th Pass,Graduate,Self-Employed,Homemaker,Low,Good,Good,Yes,Shared,Love,Contested,23380,139
15,48,47,13,0,24674,6778,176084,25296,8642,Postgraduate,Below 10th,Employed,Employed,Low,Moderate,Good,No,N/A,Court Marriage,Mutual Consent,11205,115
16,54,56,13,1,39831,47412,832588,144428,12872,Graduate,Professional Degree,Self-Employed,Self-Employed,Middle,Good,Moderate,No,Shared,Arranged,Contested,2932,150
17,26,28,5,2,10819,16116,323628,3776,3531,12th Pass,Below 10th,Employed,Employed,Low,Poor,Good,No,Husband,Arranged,Mutual Consent,10762,116
